intake_id	date	requested_object	source_id	company_key	normalized_company_name	country	priority_grade	radar_score	capture_action	required_fields	acceptance_criteria	value_to_fill	guardrail
intake-2026-06-02-paraguay-frigorifico-frigomerc-evidence_object	2026-06-02	evidence_object	auto-paraguay-senacsa-frigorificos-frigorifico-frigomerc-23ysxe	paraguay:frigorifico frigomerc	FRIGORIFICO FRIGOMERC	Paraguay	A	87	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-uruguay-frigorifico-carrasco-evidence_object	2026-06-02	evidence_object	auto-uruguay-meats-exporters-frigorifico-carrasco-1f36gw1	uruguay:frigorifico carrasco	Frigorífico Carrasco	Uruguay	A	83	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-paraguay-a-frigorifico-paraguay-evidence_object	2026-06-02	evidence_object	py-senacsa-001	paraguay:a frigorifico paraguay	A Frigorifico Paraguay	Paraguay	D	40	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-brazil-c-subprodutos-bovinos-evidence_object	2026-06-02	evidence_object	br-weak-001	brazil:c subprodutos bovinos	C Subprodutos Bovinos	Brazil	D	40	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-paraguay-frigochorti-evidence_object	2026-06-02	evidence_object	auto-paraguay-senacsa-frigorificos-frigochorti-eiaiig	paraguay:frigochorti	FRIGOCHORTI	Paraguay	D	38	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-paraguay-frigorifico-belen-evidence_object	2026-06-02	evidence_object	auto-paraguay-senacsa-frigorificos-frigorifico-belen-l9q5qz	paraguay:frigorifico belen	FRIGORIFICO BELEN	Paraguay	D	38	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-paraguay-frigorifico-concepcion-evidence_object	2026-06-02	evidence_object	auto-paraguay-senacsa-frigorificos-frigorifico-concepcion-djdnjk	paraguay:frigorifico concepcion	FRIGORIFICO CONCEPCION	Paraguay	D	38	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-paraguay-frigorifico-frigochaco-evidence_object	2026-06-02	evidence_object	auto-paraguay-senacsa-frigorificos-frigorifico-frigochaco-ekanta	paraguay:frigorifico frigochaco	FRIGORIFICO FRIGOCHACO	Paraguay	D	38	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-paraguay-frigorifico-guarani-c-i-evidence_object	2026-06-02	evidence_object	auto-paraguay-senacsa-frigorificos-frigorifico-guarani-c-i-1o8l53y	paraguay:frigorifico guarani c i	FRIGORIFICO GUARANI C I	Paraguay	D	38	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
intake-2026-06-02-paraguay-frigorifico-lombardo-evidence_object	2026-06-02	evidence_object	auto-paraguay-senacsa-frigorificos-frigorifico-lombardo-rgg5uy	paraguay:frigorifico lombardo	FRIGORIFICO LOMBARDO	Paraguay	D	38	capture_current_batch_evidence	path_or_url; date_received; summary; is_current_batch; human_review; evidence_level	当前批次视频/照片、官方/现场证明或带日期与复核人的文件。		路线统计和能力雷达事实不提升证据。
